_id,Fecha,BML - AmA(c)rica,BML - Asia,BML - Europa,BML - Total,COMEX - Total,SHFE - Total
640,16-May-2019,"55,525","65,925","70,275","191,725","29,226","187,963"
641,17-May-2019,"54,550","65,750","70,250","190,550","29,188","187,963"
642,20-May-2019,"53,325","65,850","69,550","188,725","28,994","187,963"
643,21-May-2019,"53,425","65,850","69,975","189,250","28,933","187,963"
644,22-May-2019,"52,000","65,800","69,900","187,700","28,960","187,963"
645,23-May-2019,"51,375","65,275","69,825","186,475","28,851","172,266"
646,24-May-2019,"50,850","65,275","69,700","185,825","28,871","172,266"
647,27-May-2019,"50,850","65,275","69,700","185,825","28,871","172,266"
648,28-May-2019,"50,575","65,425","69,575","185,575","28,892","172,266"
649,29-May-2019,"49,825","65,550","69,625","185,000","28,801","172,266"
650,30-May-2019,"49,250","81,300","81,900","212,450","28,711","165,439"
651,31-May-2019,"49,050","81,300","81,650","212,000","28,700","165,439"
652,03-Jun-2019,"48,975","81,300","81,525","211,800","28,701","165,439"
653,04-Jun-2019,"48,950","81,300","81,525","211,775","28,701","165,439"
654,05-Jun-2019,"48,450","81,000","82,600","212,050","28,701","165,439"
655,06-Jun-2019,"48,100","81,000","82,550","211,650","27,966","145,626"
656,07-Jun-2019,"48,075","81,000","82,500","211,575","27,819","145,626"
657,10-Jun-2019,"47,900","81,000","82,450","211,350","27,819","145,626"
658,11-Jun-2019,"47,775","81,000","82,450","211,225","27,651","145,626"
659,12-Jun-2019,"47,600","81,000","82,300","210,900","27,651","145,626"
660,13-Jun-2019,"46,900","104,350","97,300","248,550","27,401","139,556"
661,14-Jun-2019,"46,500","108,725","97,200","252,425","27,401","139,556"
662,17-Jun-2019,"45,500","108,725","97,125","251,350","27,401","139,556"
663,18-Jun-2019,"44,550","108,625","97,575","250,750","27,318","139,556"
664,19-Jun-2019,"43,575","107,125","97,675","248,375","27,499","139,556"
665,20-Jun-2019,"42,800","106,675","97,575","247,050","27,760","134,747"
666,21-Jun-2019,"41,725","106,675","97,650","246,050","27,920","134,747"
667,24-Jun-2019,"40,425","106,675","97,625","244,725","28,362","134,747"
668,25-Jun-2019,"39,850","105,475","97,550","242,875","28,604","134,747"
669,26-Jun-2019,"39,250","104,775","97,675","241,700","29,366","134,747"
670,27-Jun-2019,"38,750","104,650","97,775","241,175","29,728","146,019"
671,28-Jun-2019,"38,250","105,700","97,450","241,400","30,314","146,019"
672,01-Jul-2019,"37,950","105,650","97,300","240,900","30,741","146,019"
673,02-Jul-2019,"37,900","105,725","96,300","239,925","31,018","146,019"
674,03-Jul-2019,"37,775","139,325","95,400","272,500","31,019","146,019"
675,04-Jul-2019,"37,750","139,325","94,450","271,525","31,019","140,904"
676,05-Jul-2019,"37,375","151,550","114,050","302,975","31,316","140,904"
677,08-Jul-2019,"37,375","149,075","111,850","298,300","31,588","140,904"
678,09-Jul-2019,"37,350","149,075","109,600","296,025","31,850","140,904"
679,10-Jul-2019,"37,075","148,975","107,475","293,525","32,112","140,904"
680,11-Jul-2019,"36,400","147,025","106,575","290,000","32,566","145,279"
681,12-Jul-2019,"35,775","147,025","105,400","288,200","32,802","145,279"
682,15-Jul-2019,"35,675","146,950","103,200","285,825","33,261","145,279"
683,16-Jul-2019,"38,375","151,325","103,225","292,925","66,615","145,279"
684,17-Jul-2019,"38,600","150,025","110,975","299,600","33,774","145,279"
685,18-Jul-2019,"38,175","148,925","110,925","298,025","33,921","154,520"
686,19-Jul-2019,"37,600","148,575","110,275","296,450","34,177","154,520"
687,22-Jul-2019,"37,425","148,575","109,725","295,725","34,798","154,520"
688,23-Jul-2019,"37,050","147,125","109,375","293,550","34,818","154,520"
689,24-Jul-2019,"36,700","146,775","111,525","295,000","34,841","154,520"
690,25-Jul-2019,"37,825","146,350","111,300","295,475","35,125","149,189"
691,26-Jul-2019,"37,050","146,200","110,875","294,125","35,125","149,189"
692,29-Jul-2019,"37,025","146,125","109,800","292,950","35,452","149,189"
693,30-Jul-2019,"38,175","146,075","108,250","292,500","35,610","149,189"
694,31-Jul-2019,"38,075","145,175","107,250","290,500","35,926","149,189"
695,01-ago-2019,"39,175","141,950","106,675","287,800","35,967","155,971"
696,02-ago-2019,"39,175","141,050","106,375","286,600","36,387","155,971"
697,05-ago-2019,"39,175","138,150","105,950","283,275","36,511","155,971"
698,06-ago-2019,"39,175","135,750","103,050","277,975","36,663","155,971"
699,07-ago-2019,"38,850","133,850","103,250","275,950","37,027","155,971"
700,08-ago-2019,"38,325","133,350","102,850","274,525","37,047","156,367"
701,09-ago-2019,"38,125","132,850","100,750","271,725","37,352","156,367"
702,12-ago-2019,"37,975","132,350","103,025","273,350","37,373","156,367"
703,13-ago-2019,"37,925","131,850","102,775","272,550","37,655","156,367"
704,14-ago-2019,"37,700","131,450","102,650","271,800","37,675","156,367"
705,15-ago-2019,"37,650","154,500","109,600","301,750","37,695","162,830"
706,16-ago-2019,"40,175","174,650","117,150","331,975","37,715","162,830"
707,19-ago-2019,"40,150","174,100","115,875","330,125","37,715","162,830"
708,20-ago-2019,"40,675","173,500","115,425","329,600","37,715","162,830"
709,21-ago-2019,"40,675","172,900","116,000","329,575","38,172","162,830"
710,22-ago-2019,"40,650","172,675","114,925","328,250","38,130","156,573"
711,23-ago-2019,"40,650","176,225","115,050","331,925","38,171","156,573"
712,26-ago-2019,"40,650","176,225","115,050","331,925","38,352","156,573"
713,27-ago-2019,"40,600","175,300","118,075","333,975","38,831","156,573"
714,28-ago-2019,"41,650","176,225","116,825","334,700","39,219","156,573"
715,29-ago-2019,"41,650","175,725","119,200","336,575","39,480","143,876"
716,30-ago-2019,"42,150","178,950","116,575","337,675","39,761","143,876"
